identifier,file,mediatype,collection,licenseurl,publisher,year,date,creator[0],creator[1],creator[2],language,title,description
SeaGL2021-Aeva_Black-Computing_Confidentially_in_the_Clouds,SeaGL2021-Aeva_Black-Computing_Confidentially_in_the_Clouds.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Aeva Black,,,English,Computing Confidentially in the Clouds,"<p>Someone once said that “a cloud is just someone else’s computer”, implying that you’re trusting that “someone” with your data. You also trust them in ways you may not even realize: to patch their infrastructure against the latest threats, to keep your data in the right country, and to only access it in legally compliant ways.</p><p>What if you didn’t have to trust them? What if you could audit the integrity of their systems at any time, isolate your work from cloud admins, and guarantee your data is processed only when and where you want? Sounds good, right?</p><p>With new hardware coming online in all major cloud providers, <i>Confidential Computing</i> promises to alter the trust relationship between cloud provider and consumer. However, the tech stack is still young, and it is not integrated in cloud-native scenarios (containers) yet.</p><p>In this session, Aeva Black will present a vision towards this goal, introduce a few open source projects which facilitate it, and point interested developers towards community-led projects actively working on building this technology.</p>"
SeaGL2021-Aeva_Black-Walking_The_Cultural_Tightrope,SeaGL2021-Aeva_Black-Walking_The_Cultural_Tightrope.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Aeva Black,,,English,Walking The Cultural Tightrope,"<p>Aeva, a member of the Kubernetes Code of Conduct (CoC) Committee, will examine difficult topics related to CoC enforcement and provide concrete suggestions on how to implement a CoCC, based on their experience supporting the Kubernetes community through several complex incidents in the past two years.</p><p>Standard business approaches to interpersonal risk management (such as “just let HR handle it” and “don’t do anything that could make us liable”) do not translate effectively to open source community management, where liability extends outside organizational authority and interpersonal dynamics are fundamentally different. Conversely, ignoring community health leads to poor – sometimes catastrophic – outcomes for technical projects, and ultimately an increase in business risk in your software supply chain.</p><p>In this talk, Aeva will discuss what it means to shape an open source community through a values-driven approach to leadership, and provide concrete suggestions for open source projects and their corporate sponsors to implement which can improve community health and diversity. These suggestions will be based on real examples, though all identifying details will be anonymized to maintain the confidentiality of those involved.</p>"
SeaGL2021-Athan_Spathas_Aaron_Wolf_and_Wm_Salt_Hale-FLOSS_daily_but_FLO_all_the_time,SeaGL2021-Athan_Spathas_Aaron_Wolf_and_Wm_Salt_Hale-FLOSS_daily_but_FLO_all_the_time.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Athan Spathas,Aaron Wolf,Wm Salt Hale,English,FLOSS daily — but FLO all the time,"<p>The important concepts in technology and collaboration that were pioneered by the Free Software Movement are <em>also</em> pertinent <em>beyond</em> software. Both the term “Free Software” and the common acronym FLOSS (<em>Free / Libre / Open Source Software</em>) are limited to software programs. So, we use the broader term <strong>FLO</strong> to bring our ethical and creative values to a wide range of other areas. FLO values matter in hardware, science and medicine, governance, music and art, and many other domains.</p><p>FLO is about people, communities, and cultures rather than about the products themselves. As Cory Doctorow emphasizes, <em>information</em> doesn’t want to be free, <em>people</em> want to be free. That’s why the FLO movement emphasizes people-first principles. FLO encompasses more than licensing and source availability. The FLO world that we wish to see is one in which all of us are both legally and <em>practically</em> able to use, study, adapt, and share creative resources in <em>all</em> the different facets of our lives.</p><p>This session will address why FLO matters as a term as well as a movement. The discussion will be facilitated by three FLO advocates who have experience with hardware and (FLOSS) software, community development, music education and performance, fundraising, and beyond. The audience is invited to participate via a live dialog while we explore getting ‘into the FLO’.</p>"
SeaGL2021-Ben_Cotton-Your_bug_tracker_and_you,SeaGL2021-Ben_Cotton-Your_bug_tracker_and_you.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Ben Cotton,,,English,Your bug tracker and you,"<p>Your project surely has a bug tracker. But what does it tell you? In this talk, you’ll learn how to set up your bug tracker to get the most information you can. You’ll find out what you can learn—and can’t—from mining your bugs.</p>"
SeaGL2021-Bri_Hatch-Good_Shell_Patterns,SeaGL2021-Bri_Hatch-Good_Shell_Patterns.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Bri Hatch,,,English,Good Shell Patterns,"<p>We’ll discuss tried-and-true code snippets you can use to make your code more reliable, easier to read, and quicker to debug. Enjoy the elegance of <code>cd $(dirname $0)</code>, performing actions only on successful exit, and informational help messages. We’ll cover all those minor changes that continually come up in our code review sessions that reap outsized rewards.</p>"
SeaGL2021-Bri_Hatch-SSH_from_your_DevOps_CI_CD_securely,SeaGL2021-Bri_Hatch-SSH_from_your_DevOps_CI_CD_securely.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Bri Hatch,,,English,SSH from your DevOps CI/CD securely,"<p>Your CI/CD pipeline needs to make things happen, and often that means hitting other machines via SSH or rsync. Since no human is at the keyboard to type a password, how do you automate this securely? We’ll show alternatives to passwordless keys in your repository (BAD!!!), describe the security implications, and how you can assure that these keys are usable only for the commands they require.</p>"
SeaGL2021-Brian_Callahan-Reviving_and_extending_a_universitys_infosec_program,SeaGL2021-Brian_Callahan-Reviving_and_extending_a_universitys_infosec_program.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Brian Callahan,,,English,Stories from reviving and extending a university's information security program,"<p>In 2019, I was tasked with reviving a university information security program that had been on life support for the last 5 years. Two years on, and I have helped to design and implement several new courses, rewrote from scratch other courses, implemented monthly campus-wide infosec hangout nights, begun a campus-wide infosec awareness campaign, and more.</p><p>Join me as I tell stories about what went right, what went wrong, what I might do differently with the benefit of hindsight, and what the future has in store. This talk is designed to give you insights on how you can better engage with and implement infosec awareness and education in your own organizations and help prepare the next generation of security experts.</p>"
SeaGL2021-Cory_Doctorow-Seize_the_Means_of_Computation,SeaGL2021-Cory_Doctorow-Seize_the_Means_of_Computation.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Cory Doctorow,,,English,Seize the Means of Computation,"<p>After a year of lockdown, there can no longer be any question as to whether digital rights are human rights. The internet is a single wire that delivers free speech, free assembly, education, family life, romance, parenting, employment, access to politics and civics, to tools and ideas, to community and the public sphere.</p><p>And yet, technological self-determination is farther away than ever. Open source means nothing without software freedom (who cares if you can see the source to applications whose essential cloud components you can’t modify?). Interoperability is criminalized in new ways every day. A single corporate account termination can cost you your media, your email archives, your mobile device, and even brick your thermostat and doorbell.</p><p>Time is running out to seize the means of computation and safeguard the power of tech to give us more control over our lives.</p>"
SeaGL2021-David_M_Stokes-JSON_Document_Validation_in_MySQL_8_0,SeaGL2021-David_M_Stokes-JSON_Document_Validation_in_MySQL_8_0.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,David M. Stokes,,,English,JSON Document Validation in MySQL 8.0,"<p>JSON is a great free form way of interchanging data with minimal data type checking. Relational databases are strictly structured systems to store data with many types of data checks to make sure the data meets rigorous formatting standard. Most databases now allow you to store that free form data in their structured framework. So how do you check that free form data for things like required fields, proper data types, and that the data is within a pre-set range? The wonderful folks at JSON-Schmea.org have devised a way to do all that and we will look at how MySQL implemented their templating system to verify that you JSON document going into your relational database meets your criteria.</p>"
SeaGL2021-David_M_Stokes-Understanding_the_MySQL_Authentication_Process,SeaGL2021-David_M_Stokes-Understanding_the_MySQL_Authentication_Process.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,David M. Stokes,,,English,Understanding the MySQL Authentication Process,"<p>MySQL is a popular database but few understand that sometimes the authentication process actually works, that it can be too permissive, and sometimes too many have dangerous permissions provided to them. This session will cover how the server decides which accounts are allowed to access the server, password options, how to use roles, set up dual passwords, setting functional limits on accounts, and more.</p>"
