identifier,file,mediatype,collection,licenseurl,publisher,year,date,creator[0],creator[1],creator[2],creator[3],language,title,description
SeaGL2022-Aarti_Ramkrishna-The_Leaky_Pipeline,SeaGL2022-Aarti_Ramkrishna-The_Leaky_Pipeline.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Aarti Ramkrishna,,,,English,The Leaky Pipeline,"<p>Women and people of color have always been under-represented in open source and by extension STEM. Somewhere along their educational journey, girls and people of color who initially were interested in STEM are no longer considering it as a career choice. Aarti Ramkrishna is an award-winning educator from the state of Oregon; who is building equity focused classroom curricula for school districts from Kindergarten - 5th grade. While building this curriculum, Aarti will discuss her observations of children and adults and how racism and misogyny permeates education and why there is a leaky pipeline that blocks potential amazing humans from entering or thriving in STEM. Be prepared for a powerful emotional journey from an expert in DEI.</p>"
SeaGL2022-Adrian_Cochrane-The_Small_Web,SeaGL2022-Adrian_Cochrane-The_Small_Web.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Adrian Cochrane,,,,English,The Small Web,"<p>Browser engines, and the expectations we place on them, have become incredibly complex. Leading to a situation where while all the dominant engines are nominally opensource it is impossible for practically anyone to exercise their software freedom over them. Except to make them even more complex, once you’ve wrapped your head around their existing complexity!</p><p>This talk will explore existing efforts to address the web’s lack of reasonable scope, and demonstrate my own solution “Rhapsode”. And explore the potential for a web without JavaScript to better protect privacy &amp; work beautifully across a wider range of devices.</p>"
SeaGL2022-Aeva_Black-Victims_Of_Our_Success,SeaGL2022-Aeva_Black-Victims_Of_Our_Success.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Aeva Black,,,,English,Victims Of Our Success,"<p>Keynote</p>"
SeaGL2022-Alanna_Burke-The_struggle_of_getting_an_open-source_community_off_the_ground,SeaGL2022-Alanna_Burke-The_struggle_of_getting_an_open-source_community_off_the_ground.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Alanna Burke,,,,English,The struggle of getting an open-source community off the ground,"<p>Having an open-source project is great, but if no one is using it, there doesn’t seem to be much point in working on it, right? Lots of open-source projects are small and easy to integrate into your workflow, and so communities quickly form around them organically. But when you have a bigger project that requires some knowledge and buy-in, and a specific need, how do you get people enthusiastic and involved in your project?</p><p>In this talk, we’ll discuss how to start an open-source community from the ground up, and how to leverage your existing users and spaces. Attendees will come away with ideas and plans for how to take their project to the next level and get people excited and involved.</p>"
SeaGL2022-Alex_Byrne-The_Fediverse_at_Your_Library,SeaGL2022-Alex_Byrne-The_Fediverse_at_Your_Library.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Alex Byrne,,,,English,The Fediverse @ Your Library,"<p>Fediverse enthusiasts and public libraries have a shared interest in preserving privacy, control, and a smaller, more intimate, and non-commercial community for their users, but they’re not collaborating as much as they could on those shared values to provide easy ways for potential Fediverse users to get started, either as a user or as an instance host.</p><p>Librarians often lack the technical resources to implement and maintain Fediverse instances on their own, but could work with enthusiasts to help themselves and their users create and manage their own instances of / accounts on the Fediverse.</p><p>This presentation will take a high-level look at how a collaboration might work between a public library and Fediverse enthusiasts, including benefits and possible pain points for both sides along the way.</p>"
SeaGL2022-Alexander_Krizhanovsky-Building_a_CDN_edge_using_open_source,SeaGL2022-Alexander_Krizhanovsky-Building_a_CDN_edge_using_open_source.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Alexander Krizhanovsky,,,,English,Building a CDN edge using open source,"<p>Modern CDNs employ various software on their edges: web caching and load balancing HTTPS proxies to deliver and cache client content, web application firewalls to block web attacks and typically DPDK- or XDP-based custom solutions to mitigate volumetric DDoS attacks.</p><p>In this talk we discuss the open source software typically used to build the data plane even on very powerful CDN edges (e.g. Nginx and ModSecurity). While you can quickly build your own CDN edge using the popular open source software, there are limitations and corner use cases, which lead nearly every CDN at some point to deep modifications of Nginx and writing their own XDP- or DPDK-based software.</p><p>Tempesta FW is an open source hybrid of an HTTPS accelerator and firewall, which was designed specifically for the CDN use cases. Tempesta FW is built into the Linux TCP/IP stack, so it perfectly integrates with Linux netfilter to provide multi-layer firewalling rules. SIMD-accelerated HTTP parser and very fast TLS handshakes allow it to process HTTPS transaction with smallest latency. However, it also has its own limitations and it should be integrated with other open source software to to get the most powerful CDN edges.</p>"
SeaGL2022-Atinuke_Kayode-On_Growth_Tips_to_Grow_a_Healthy_Open_Source_Community,SeaGL2022-Atinuke_Kayode-On_Growth_Tips_to_Grow_a_Healthy_Open_Source_Community.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Atinuke Kayode,,,,English,On Growth: Tips to Grow a Healthy Open Source Community,"<p>The success of an Open Source community depends on how healthy the Community is. Hence, It is important when building the right community should be the topmost priority of any open-source organization. It helps achieve a healthy community where the members have equal inclusion.</p><p>We often think of a successful open source project as one that just tackles a challenge for the public. This perception has driven several open source project owners to start innovative open source projects without any plans on how to manage the community behind this project. In the end, increasing the number of dormant open source projects already existing. A successful open source project is one that is built on the collaborative effort of a healthy community. A properly coordinated community can plan and build projects and unanimously work together to ensure sustainable project performance. The responsibility of achieving a successful open source community does not rest on the community managers or the program managers alone but also on the whole community. During this session, I will be sharing;</p><ol><li>How you can accept and implement feedback from members</li><li>Improve the onboarding process for your new Contributors</li><li>The importance of community first approach in Open Source Community and a lot more.</li></ol>"
SeaGL2022-Bob_Murphy-A_brief_introduction_to_the_Fediverse,SeaGL2022-Bob_Murphy-A_brief_introduction_to_the_Fediverse.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Bob Murphy,,,,English,A brief introduction to the Fediverse.,"<p>The Fediverse is a collection of communities that is a bit of a throwback to a smaller, more personal time on the internet. There are services for short messaging, audio and video sharing, and event organizing, among other things.</p><p>Mastodon is a fully open source social media platform, with no advertising, monetizing, or venture capital. It is a part of the Fediverse, a social network that is truly a network, by incorporating ideas and protocols that allow users and information to freely spread throughout a wide diaspora of servers and services. Explore how you might wish to join into the rich, new world that has more of a resemblance of the internet as it was envisioned to be.</p>"
SeaGL2022-Bradley_Molinaro-Accessible_Data_Visualization,SeaGL2022-Bradley_Molinaro-Accessible_Data_Visualization.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Bradley Molinaro,,,,English,Accessible Data Visualization,"<p>More and more people are seeing data visualized every day whether it’s in their weather app, Spotify’s end of the year “Wrapped” report, the latest Covid-19 trends, or in their daily work. Sometimes seeing data take shape can be purely for enjoyment, but other times the stakes are higher and the data influences what choices people make as a business or in their personal lives.</p><p>How can we ensure our data is represented in a way that is easily interpreted by all?</p><p>Join this presentation to learn about how we can make data visualizations accessible to those with disabilities or to those who are just new to this. We’ll walk through high-level data visualizations tips, with a focus on accessibility, that can be used within any platform that displays data in graphical form. Let’s make sure everyone is equally able to learn from their data and put it into action!</p>"
SeaGL2022-Bri_Hatch-Tab_completion_for_your_custom_commands,SeaGL2022-Bri_Hatch-Tab_completion_for_your_custom_commands.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Bri Hatch,,,,English,Tab completion for your custom commands,"<p>Tab completion saves time typing keys, and helps you remember those --long-esoteric-options without pulling up a man page. You can create bash completions for your custom tools as well, which can help your coworkers and yourself down the road. We’ll build up simple and advanced bash tab completions so you can build your own and save time!</p>"
